Symbol,Company,Industry,City,State
A,Agilent Technologies Inc,Health Care,Santa Clara, California
AA,Alcoa Inc,Materials,New York, New York
AAPL,Apple Inc.,Information Technology,Cupertino, California
ABC,AmerisourceBergen Corp,Health Care,Chesterbrook, Pennsylvania
ABT,Abbott Laboratories,Health Care,North Chicago, Illinois
ACE,ACE Limited,Financials,Zurich, Switzerland
ACN,Accenture,Information Technology,Dublin, Ireland
ADBE,Adobe Systems Inc,Information Technology,San Jose, California
ADI,Analog Devices Inc,Information Technology,Norwood, Massachusetts
ADM,Archer-Daniels-Midland Co,Consumer Staples,Decatur, Illinois
ADP,Automatic Data Processing,Information Technology,Roseland, New Jersey
ADSK,Autodesk Inc,Information Technology,San Rafael, California
ADT,ADT Corp,Industrials,Boca Raton, Florida
AEE,Ameren Corp,Utilities,St. Louis, Missouri
AEP,American Electric Power,Utilities,Columbus, Ohio
AES,AES Corp,Utilities,Arlington, Virginia
AET,Aetna Inc,Health Care,Hartford, Connecticut
AFL,AFLAC Inc,Financials,Columbus, Georgia
AGN,Allergan Inc,Health Care,Irvine, California
AIG,American Intl Group Inc,Financials,New York, New York
AIV,Apartment Investment & Mgmt,Financials,Denver, Colorado
AIZ,Assurant Inc,Financials,New York, New York
AKAM,Akamai Technologies Inc,Information Technology,Cambridge, Massachusetts
ALL,Allstate Corp,Financials,Northfield Township, Illinois
ALTR,Altera Corp,Information Technology,San Jose, California
ALXN,Alexion Pharmaceuticals,Health Care,Cheshire, Connecticut
AMAT,Applied Materials Inc,Information Technology,Santa Clara, California
AMD,Advanced Micro Devices,Information Technology,Sunnyvale, California
AMGN,Amgen Inc,Health Care,Thousand Oaks, California
GILD,Gilead Sciences,Health Care,Foster City, California
GIS,General Mills,Consumer Staples,Golden Valley, Minnesota
GLW,Corning Inc.,Industrials,Corning, New York
GME,GameStop Corp.,Consumer Discretionary,Grapevine, Texas
GNW,Genworth Financial Inc.,Financials,Richmond, Virginia
GOOG,Google Inc.,Information Technology,Mountain View, California
GPC,Genuine Parts,Consumer Discretionary,Atlanta, Georgia
GPS,Gap (The),Consumer Discretionary,San Francisco, California
GS,Goldman Sachs Group,Financials,New York, New York
GT,Goodyear Tire & Rubber,Consumer Discretionary,Akron, Ohio
GWW,Grainger (W.W.) Inc.,Industrials,Lake Forest, Illinois
HAL,Halliburton Co.,Energy,Houston, Texas
HAR,Harman Int'l Industries,Consumer Discretionary,Stamford, Connecticut
HAS,Hasbro Inc.,Consumer Discretionary,Pawtucket, Rhode Island
HBAN,Huntington Bancshares,Financials,Columbus, Ohio
HCBK,Hudson City Bancorp,Financials,Paramus, New Jersey
HCN,Health Care REIT,Financials,Toledo, Ohio
HCP,HCP Inc.,Financials,Long Beach, California
HD,Home Depot,Consumer Discretionary,Cobb County, Georgia
HES,Hess Corporation,Energy,New York, New York
HIG,Hartford Financial Svc.Gp.,Financials,Hartford, Connecticut
HNZ,Heinz (H.J.),Consumer Staples,Pittsburgh, Pennsylvania
HOG,Harley-Davidson,Consumer Discretionary,Milwaukee, Wisconsin
HON,Honeywell Int'l Inc.,Industrials,Morristown, New Jersey
HOT,Starwood Hotels & Resorts,Consumer Discretionary,White Plains, New York
HP,Helmerich & Payne,Energy,Tulsa, Oklahoma
HPQ,Hewlett-Packard,Information Technology,Palo Alto, California
HRB,Block H&R,Consumer Discretionary,Kansas City, Missouri
HRL,Hormel Foods Corp.,Consumer Staples,Austin, Minnesota
HRS,Harris Corporation,Information Technology,Melbourne, Florida
HSP,Hospira Inc.,Health Care,Lake Forest, Illinois
HST,Host Hotels & Resorts,Financials,Bethesda, Maryland
HSY,The Hershey Company,Consumer Staples,Hershey, Pennsylvania
HUM,Humana Inc.,Health Care,Louisville, Kentucky
IBM,International Bus. Machines,Information Technology,Armonk, New York
ICE,IntercontinentalExchange Inc.,Financials,Atlanta, Georgia
IFF,International Flav/Frag,Materials,New York, New York
IGT,International Game Technology,Consumer Discretionary,Reno, Nevada
INTC,Intel Corp.,Information Technology,Santa Clara, California
INTU,Intuit Inc.,Information Technology,Mountain View, California
IP,International Paper,Materials,Memphis, Tennessee
IPG,Interpublic Group,Consumer Discretionary,New York, New York
IR,Ingersoll-Rand PLC,Industrials,Dublin, Ireland
IRM,Iron Mountain Incorporated,Industrials,Boston, Massachusetts
ISRG,Intuitive Surgical Inc.,Health Care,Sunnyvale, California
ITW,Illinois Tool Works,Industrials,Glenview, Illinois
OI,Owens-Illinois Inc,Materials,Perrysburg, Ohio
OKE,ONEOK,Utilities,Tulsa, Oklahoma
OMC,Omnicom Group,Consumer Discretionary,New York, New York
PM,Philip Morris International,Consumer Staples,New York, New York
PNC,PNC Financial Services,Financials,Pittsburgh, Pennsylvania
PNR,Pentair Ltd.,Industrials,Schaffhausen, Switzerland
PNW,Pinnacle West Capital,Utilities,Phoenix, Arizona
SCG,SCANA Corp,Utilities,Cayce, South Carolina
SCHW,Charles Schwab,Financials,San Francisco, California
SE,Spectra Energy Corp.,Energy,Houston, Texas
SEE,Sealed Air Corp.(New),Materials,Elmwood Park, New Jersey
SHW,Sherwin-Williams,Consumer Discretionary,Cleveland, Ohio
SIAL,Sigma-Aldrich,Materials,St. Louis, Missouri
SJM,Smucker (J.M.),Consumer Staples,Orrville, Ohio
SLB,Schlumberger Ltd.,Energy,Houston, Texas
THC,Tenet Healthcare Corp.,Health Care,Dallas, Texas
TIE,Titanium Metals Corp,Materials,Dallas, Texas
TIF,Tiffany & Co.,Consumer Discretionary,New York, New York
TJX,TJX Companies Inc.,Consumer Discretionary,Framingham, Massachusetts
XEL,Xcel Energy Inc,Utilities,Minneapolis, Minnesota
YUM,Yum! Brands Inc,Consumer Discretionary,Louisville, Kentucky
ZION,Zions Bancorp,Financials,Salt Lake City, Utah
ZMH,Zimmer Holdings,Health Care,Warsaw, Indiana
